filename,title,feature,role,level
./metadata.md,,,,
./help/_marketo-main/TOC.md,,,,
./help/_marketo-main/overview.md,Marketo Engage tutorials,,,
./help/fundamentals/goals-and-strategy-learn.md,Learn about developing  marketing goals and strategy,Marketing,User,Beginner
./help/fundamentals/organizational-structure-learn.md,Learn about defining your marketing organization structure,Marketing,User,Beginner
./help/fundamentals/content-marketing-learn.md,Learn about developing a content marketing strategy,Marketing,User,Beginner
./help/fundamentals/buyer-personas-learn.md,Learn about creating buyer personas,Marketing,User,Beginner
./help/fundamentals/programs-and-campaigns.md,Understanding Marketo programs and campaigns,"Programs, Smart Campaigns",User,Beginner
./help/fundamentals/ui-navigation.md,Navigate the Marketo Engage user interface,Modern UX,User,Beginner
./help/fundamentals/best-practices-to-organize-a-new-instance.md,Best practices to organize a new [!DNL Marketo Engage] instance,Getting Started,Admin,Beginner
./help/fundamentals/best-practices-for-creating-foundational-programs.md,Best practices for creating foundational programs,Programs,Admin,Beginner
./help/programs/understanding-programs-and-campaigns.md,Understanding programs and campaigns,"Programs, Smart Campaigns",User,Beginner
./help/campaigns/smart-campaigns-101.md,Smart Campaigns 101,Smart Campaigns,User,Beginner
./help/programs/email-programs.md,Email Programs,Programs,User,Beginner
./help/programs/event-programs.md,Event Programs,Programs,User,Beginner
./help/programs/create-and-measure-default-programs.md,Create and measure a default program,Programs,User,Beginner
./help/programs/leverage-the-flexibility-of-default-programs.md,Default Programs,Programs,User,Beginner
./help/programs/engagement-programs.md,Engagement Programs,Programs,User,Beginner
./help/email-marketing/scheduled-email-learn.md,Learn about building a scheduled email program,Programs,User,Beginner
./help/email-marketing/scheduled-email-watch.md,Build a scheduled email program,Programs,User,Beginner
./help/email-marketing/personalized-newsletter-learn.md,Learn about creating a personalized newsletter email progra… (Titles should be no more than 60 characters),Programs,User,Beginner
./help/email-marketing/personalized-newsletter-watch.md,Create a personalized newsletter ,Email Programs,User,Beginner
./help/email-marketing/gated-content-offer-learn.md,Learn about building a gated content email program,Programs,User,Beginner
./help/email-marketing/gated-content-offer-watch.md,How to build a gated content email program,Programs,User,Beginner
./help/email-marketing/ab-testing-learn.md,Learn about using A/B testing to improve email performance,A/B Testing,User,Beginner
./help/email-marketing/ab-testing-watch.md,Create an A/B test,A/B Testing,User,Beginner
./help/email-marketing/landing-pages-learn.md,Learn about building and designing landing pages,Landing Pages,User,Beginner
./help/email-marketing/landing-pages-watch.md,Build and design landing pages,Landing Pages,User,Beginner
./help/email-marketing/forms-learn.md,Learn about creating and editing forms,Forms,User,Beginner
./help/email-marketing/email-deliverability-learn.md,Learn about optimizing email deliverability,Deliverability,User,Beginner
./help/email-marketing/email-deliverability-watch.md,How to optimize email deliverability,Deliverability,User,Beginner
